Movie ,Year ,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross,,,,
The Dark Knight 1,2011,Michael Caine,"May 04, 2005",54544583,288944721,1383901350,,,,
Joker 1,1997,Joaquin Phoenix,"Oct 23, 1997",54354099,367137164,1871395765,,,,
Inception 2,2009,Joseph Gordon-Levitt,"Aug 31, 2015",54204034,374206308,1546050998,,,,
The Dark Knight 4,2016,Christian Bale,"Nov 04, 2001",53977346,299516730,2040623532,,,,
Black Panther 1,2020,Michael B. Jordan,"Dec 10, 1995",53328570,434837792,1101571876,,,,
Joker 2,2000,Joaquin Phoenix,"Apr 20, 2019",53155951,835229362,2294411987,,,,
The Dark Knight 3,2006,Heath Ledger,"Mar 13, 2012",52735205,594178100,2237191707,,,,
The Dark Knight 2,2005,Morgan Freeman,"Feb 23, 2001",52020242,406717140,1302316718,,,,
Frozen 1,2009,Kristen Bell,"Sep 20, 2019",50782223,115955094,834084039,,,,
Frozen 4,2017,Jonathan Groff,"Jan 16, 2005",49563453,730898372,2298832635,,,,
Joker 1,2021,Joaquin Phoenix,"Feb 25, 2007",49368699,264771472,1064139616,,,,
Avatar 1,2021,Zoe Saldana,"Jun 09, 2022",49353404,313935915,1868227413,,,,
Avatar 3,2003,Stephen Lang,"Dec 24, 2005",49304329,219066192,1528602640,,,,
Titanic 2,2022,Leonardo DiCaprio,"Dec 03, 2024",48785809,242723306,1349673088,,,,
Frozen 1,2020,Kristen Bell,"May 22, 2015",48547416,875334817,2730512256,,,,
Inception 4,2017,Joseph Gordon-Levitt,"Mar 16, 2021",48531476,640781979,2041731359,,,,
Black Panther 2,2002,Letitia Wright,"Jan 12, 2008",48515440,578727323,1021079297,,,,
Avatar 1,2024,Sam Worthington,"Feb 21, 2015",47990371,403732836,1546765556,,,,
Frozen 4,2023,Josh Gad,"Mar 18, 2027",47805379,619715486,2067705098,,,,
Toy Story 1,2014,Annie Potts,"May 18, 2012",47785764,381899232,1367445468,,,,
The Dark Knight 3,2024,Gary Oldman,"Jul 15, 2023",47729830,73756876,1762782240,,,,
Interstellar 1,2008,Matthew McConaughey,"Mar 01, 2010",47725546,279473506,1861632628,,,,
Avengers 1,2004,Mark Ruffalo,"Jan 30, 2023",47449766,413155388,881102528,,,,
Interstellar 3,2012,Matthew McConaughey,"May 16, 2002",47183082,126188831,1473381927,,,,
Inception 2,2018,Joseph Gordon-Levitt,"Mar 31, 2020",46548729,555364572,1879161429,,,,
Avatar 3,2017,Zoe Saldana,"May 21, 2024",46232167,869953893,933969699,,,,
Avengers 4,2008,Mark Ruffalo,"Jun 02, 2026",46168145,87286389,897070492,,,,
Inception 4,2016,Ken Watanabe,"Dec 14, 2025",46050191,345356645,418619393,,,,
Avatar 1,2022,Stephen Lang,"Nov 07, 2003",45601209,855490349,2294523825,,,,
Avengers 4,2019,Jeremy Renner ,"Sep 25, 2022",45297183,729148369,1994579319,,,,
Titanic 4,2012,Leonardo DiCaprio,"Jan 23, 2022",44540380,723563726,2641895076,,,,
Interstellar 3,2010,Michael Caine,"Jun 19, 2008",43733247,716349069,2614988079,,,,
Toy Story 3,2004,Tim Allen,"May 01, 1999",43290332,328427140,660572923,,,,
Avatar 4,2015,Stephen Lang,"Feb 15, 2019",42995433,238034422,2056605828,,,,
Toy Story 2,2003,Tom Hanks,"Jul 11, 2003",42924097,812324479,1066335305,,,,
Avengers 2,2013,Mark Ruffalo,"Feb 17, 2021",42830595,135797111,1812458357,,,,
Avengers 2,2016,Mark Ruffalo,"Jan 26, 2020",42819889,182467393,1359210856,,,,
Interstellar 2,2019,Jessica Chastain,"Apr 09, 2011",42483334,462504737,1727251952,,,,
Inception 3,2019,Ken Watanabe,"Apr 20, 2013",41891948,351611513,1757764884,,,,
Avatar 1,2010,Sam Worthington,"Mar 02, 2022",41880699,317871067,2077631899,,,,
The Dark Knight 3,2002,Christian Bale,"Sep 06, 2025",41658383,117964070,1829937022,,,,
Black Panther 3,1997,Danai Gurira,"Jun 08, 2021",41024015,398054337,469508831,,,,
Inception 2,2019,Elliot Page,"Sep 04, 2012",40377570,115404700,1438536096,,,,
Avengers 3,2019,Mark Ruffalo,"Feb 11, 2004",38917836,362137337,1630606700,,,,
Avatar 2,2011,Zoe Saldana,"Feb 23, 2021",38107532,66792869,244059582,,,,
Interstellar 4,2009,Jessica Chastain,"Mar 19, 2011",38052020,674723537,771061996,,,,
The Dark Knight 3,2002,Heath Ledger,"Jul 12, 2002",38023444,883063045,1843270576,,,,
Inception 1,1996,Tom Hardy,"Oct 27, 2009",37956798,180652267,1286889934,,,,
Toy Story 2,2000,Tom Hanks,"May 10, 2017",37783626,288590761,1790551645,,,,
Titanic 4,2018,Kate Winslet,"Sep 12, 2010",37161089,370056796,721240329,,,,
The Dark Knight 1,2016,Morgan Freeman,"Nov 22, 2006",35095619,73538593,1474317889,,,,
Frozen 3,2016,Kristen Bell,"Jun 10, 2027",34900277,544056407,1477620140,,,,
Titanic 4,2019,Leonardo DiCaprio,"Dec 02, 2018",34494031,746819330,1281047256,,,,
The Dark Knight 1,2001,Christian Bale,"Sep 23, 2003",34190732,467219336,655177277,,,,
Avatar 1,2024,Zoe Saldana,"Aug 02, 2021",34141104,431791198,1260350694,,,,
Toy Story 2,2005,Tim Allen,"Aug 17, 2003",32616271,300985631,426550403,,,,
Avatar 2,2017,Sam Worthington,"Jul 14, 2009",31978583,822028521,1667317220,,,,
Toy Story 1,1997,Tom Hanks,"Dec 15, 2009",31131140,117376799,746695014,,,,
Toy Story 4,2008,Annie Potts,"Sep 19, 2016",30791307,121938529,422261704,,,,
Titanic 4,2021,Kate Winslet,"Dec 25, 1996",30722800,419101902,686570586,,,,
Avatar 3,2013,Kate Winslet,"Jul 12, 2018",30690941,748713282,2359257410,,,,
Titanic 2,2012,Leonardo DiCaprio,"Apr 06, 2018",30581121,72176757,632682432,,,,
Frozen 3,1996,Josh Gad,"Sep 15, 2018",30545426,358990057,1339649703,,,,
Inception 3,2018,Joseph Gordon-Levitt,"Nov 04, 2011",30320024,119363032,1677704872,,,,
Titanic 3,2021,Leonardo DiCaprio,"Feb 19, 2006",29946194,491118103,1140554053,,,,
Frozen 1,2006,Kristen Bell,"Jun 11, 2006",29808091,289088317,498564929,,,,
The Dark Knight 2,2022,Gary Oldman,"Apr 29, 2025",28948251,380649641,912399432,,,,
Avatar 4,2011,Stephen Lang,"Aug 31, 2024",28072001,734838157,1895639967,,,,
Titanic 2,2021,Leonardo DiCaprio,"Mar 25, 2002",27514147,314947230,513056046,,,,
Joker 1,1995,Joaquin Phoenix,"Feb 21, 1996",27307120,397733239,937567708,,,,
Toy Story 2,2003,Tim Allen,"Feb 06, 1999",27150655,575900787,2047267412,,,,
Titanic 3,2024,Kate Winslet,"Aug 17, 2024",26280822,348074355,1952792751,,,,
Black Panther 4,1996,Letitia Wright,"Nov 03, 2027",25684577,331524344,1834350061,,,,
Frozen 1,2004,Josh Gad,"Feb 02, 2006",25626511,490731957,1592628109,,,,
Avengers 3,2007,Robert Downey Jr. ,"May 24, 2014",23917028,73047188,1988883706,,,,
Titanic 2,2003,Leonardo DiCaprio,"Feb 28, 2017",23361747,537747073,2327247259,,,,
Frozen 1,2005,Idina Menzel,"Dec 27, 2002",22859389,462816252,1583947375,,,,
Avengers 1,2021,Chris Hemsworth ,"Nov 15, 2009",22831474,692430026,1149294209,,,,
Interstellar 3,2008,Jessica Chastain,"Oct 01, 2000",22566959,853684242,1484039120,,,,
Toy Story 4,1998,Tom Hanks,"Jan 21, 1999",22463248,216690716,1933449378,,,,
Inception 2,2000,Ken Watanabe,"Apr 19, 2013",22153042,139477416,615263666,,,,
Frozen 2,2003,Jonathan Groff,"Jan 23, 1997",22068480,164486191,1765979424,,,,
Titanic 3,1996,Kate Winslet,"Jan 30, 2025",22002306,405759762,1845478797,,,,
Titanic 3,2003,Kate Winslet,"Sep 20, 2014",21956415,616429702,1461377219,,,,
The Dark Knight 4,2015,Heath Ledger,"Aug 03, 1995",21311129,346887993,1410645144,,,,
The Dark Knight 2,2017,Christian Bale,"Jul 29, 2027",21300260,798304711,1869195388,,,,
Avengers 3,2008,Zoe Saldana,"Sep 06, 2002",21290788,739003854,2097205324,,,,
Avengers 3,1997,Chris Evans ,"Dec 16, 2026",20015020,837001136,2803425594,,,,
Joker 4,2002,Joaquin Phoenix,"Feb 13, 1997",19664611,227719241,641830223,,,,
Toy Story 4,2007,Tom Hanks,"Jul 18, 2020",19599954,507307298,2396231261,,,,
Interstellar 2,2019,Jessica Chastain,"Sep 03, 2011",19485475,712518911,1055050027,,,,
Avengers 4,2019,Chris Hemsworth ,"Mar 13, 2014",19146722,862421657,1215260558,,,,
Toy Story 2,1999,Annie Potts,"Dec 18, 2020",18487077,370611399,1065029640,,,,
Titanic 4,2002,Leonardo DiCaprio,"May 17, 2017",18273420,747376582,1045815231,,,,
Titanic 2,2015,Kate Winslet,"Feb 13, 2020",17611183,161879618,1278219457,,,,
Toy Story 4,2012,Tim Allen,"Sep 10, 2021",17189254,368586118,1429474706,,,,
Inception 2,2000,Leonardo DiCaprio,"Feb 21, 2023",17153555,783446183,1040630162,,,,
Avatar 4,2013,Kate Winslet,"Feb 14, 2025",16968294,466491624,1906137978,,,,
Interstellar 3,2013,Michael Caine,"Jul 10, 1997",16644728,207929591,2121934491,,,,
Avatar 3,2017,Kate Winslet,"Sep 08, 2023",16291190,551701594,982861150,,,,
Avatar 1,1997,Sam Worthington,"Jun 04, 1995",15455909,355840194,1345896201,,,,
Toy Story 2,2017,Annie Potts,"Oct 07, 1999",15111148,555126030,735971667,,,,
Avengers 1,2017,Zoe Saldana,"May 15, 2013",14815795,335969419,1850249508,,,,
Avatar 4,2004,Stephen Lang,"Dec 05, 1999",14732574,898989474,1492648311,,,,
Interstellar 4,2011,Jessica Chastain,"Oct 21, 2009",14432646,872963362,2212639313,,,,
Titanic 3,2006,Kate Winslet,"Aug 18, 2027",14048121,855259827,2185664321,,,,
Avatar 4,1995,Sam Worthington,"Nov 10, 2017",13889124,498400054,2371610853,,,,
Frozen 4,2018,Jonathan Groff,"Jun 06, 2016",13870080,571206296,1714012097,,,,
Frozen 4,2005,Kristen Bell,"Oct 25, 2014",12851392,733329634,2102890978,,,,
The Dark Knight 1,2010,Michael Caine,"Feb 11, 2002",12240547,432384492,1071696967,,,,
Inception 1,2024,Joseph Gordon-Levitt,"Oct 02, 1997",11890671,573631288,719176285,,,,
Black Panther 2,1999,Letitia Wright,"Jun 14, 2016",11767058,714993458,849823558,,,,
Toy Story 1,2011,Tom Hanks,"Sep 01, 2007",11608486,110359342,179873753,,,,
Inception 1,2023,Ken Watanabe,"Mar 23, 1999",10912367,809618402,1214898036,,,,
Joker 2,1998,Joaquin Phoenix,"May 23, 2006",10216252,621487615,2465818516,,,,
